title,type,release_year,runtime,genres,lead_production_country,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,role,dbscan_cluster
The Four Seasons,MOVIE,1981,107,romance,US,6.8,5093.0,6.269,6.282,Alan Alda,ACTOR,2
Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,comedy,GB,8.1,1555.0,1.757,7.1,Graham Chapman,ACTOR,6
The Little Wars,MOVIE,1983,108,drama,LB,6.4,161.0,2.318,5.5,Soraya Khoury,ACTOR,21
Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,animation,JP,7.6,1322.0,11.016,7.561,Toru Furuya,ACTOR,22
Monty Python Live at the Hollywood Bowl,MOVIE,1982,77,comedy,GB,7.9,15393.0,10.07,7.4,Terry Gilliam,ACTOR,6
Danger Mouse,SHOW,1981,14,animation,GB,7.4,3678.0,6.517,7.2,David Jason,ACTOR,20
Unspeakable Acts,MOVIE,1990,100,drama,US,6.1,494.0,2.641,5.3,Jill Clayburgh,ACTOR,1
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,135,animation,JP,7.2,1378.0,10.359,7.291,Toru Furuya,ACTOR,22
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,124,animation,JP,7.3,1824.0,8.869,6.907,Shuichi Ikeda,ACTOR,22
Agneepath,MOVIE,1990,174,drama,IN,7.6,9142.0,7.424,6.4,Amitabh Bachchan,ACTOR,8
Waiting for the Hearse,MOVIE,1985,87,comedy,AR,8.0,6714.0,7.593,8.18,Luis Brandoni,ACTOR,23
The George McKenna Story,MOVIE,1986,100,drama,US,6.0,974.0,3.385,6.1,Denzel Washington,ACTOR,1
The Ryan White Story,MOVIE,1989,102,drama,US,7.2,903.0,2.683,6.308,Judith Light,ACTOR,1
Disco Dancer,MOVIE,1982,134,drama,IN,6.4,1548.0,6.019,5.45,Mithun Chakraborty,ACTOR,8
Dostana,MOVIE,1982,161,drama,IN,1.7,26.0,5.947,6.1,Amitabh Bachchan,ACTOR,8
