title,type,release_year,runtime,genres,lead_production_country,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,role,dbscan_cluster
Backtrace,MOVIE,2018,92,drama,US,3.8,4887.0,15.785,5.3,Matthew Modine,ACTOR,1
Woman of Dignity,SHOW,2017,61,drama,KR,7.5,271.0,6.253,6.958,Kim Hee-seon,ACTOR,90
Car Masters: Rust to Riches,SHOW,2018,36,reality,US,8.4,11045.0,10.453,7.5,Mark Towle,ACTOR,26
Happy Anniversary,MOVIE,2018,78,romance,US,5.7,4392.0,10.42,5.795,Noël Wells,ACTOR,2
Forged in Fire: Knife or Death,SHOW,2018,42,reality,US,6.1,393.0,2.593,8.5,Bill Goldberg,ACTOR,26
Toilet: A Love Story,MOVIE,2017,155,romance,IN,7.2,22145.0,9.909,6.9,Akshay Kumar,ACTOR,9
Tramps,MOVIE,2017,83,romance,US,6.5,5880.0,8.01,6.128,Callum Turner,ACTOR,2
Collateral,SHOW,2018,57,drama,GB,6.7,19153.0,17.885,6.42,Carey Mulligan,ACTOR,114
Animal Crackers,MOVIE,2018,105,animation,US,5.8,3647.0,21.272,6.3,Emily Blunt,ACTOR,71
Magic for Humans,SHOW,2018,23,reality,US,7.2,3529.0,12.358,6.5,Adam Franklin,DIRECTOR,26
A Korean Odyssey,SHOW,2017,75,scifi,KR,8.0,5244.0,28.313,8.2,Lee Seung-gi,ACTOR,147
Target,MOVIE,2018,93,horror,ID,4.0,545.0,3.945,4.04,Raditya Dika,ACTOR,172
Derren Brown: Sacrifice,MOVIE,2018,49,documentation,US,7.1,1891.0,5.288,7.4,Derren Brown,ACTOR,66
Marc Maron: Too Real,MOVIE,2017,70,comedy,US,7.2,2012.0,3.219,6.7,Marc Maron,ACTOR,4
And Breathe Normally,MOVIE,2018,95,drama,BE,6.9,3230.0,7.024,6.716,Kristín Þóra Haraldsdóttir,ACTOR,142
Our Souls at Night,MOVIE,2017,101,romance,GB,6.9,14059.0,9.104,6.6,Robert Redford,ACTOR,87
Cuba and the Cameraman,MOVIE,2017,113,documentation,CU,8.2,5136.0,8.956,7.6,Jon Alpert,ACTOR,-1
Taylor Swift: Reputation Stadium Tour,MOVIE,2018,125,music,US,8.4,5831.0,12.428,8.3,Taylor Swift,ACTOR,94
Ali Wong: Hard Knock Wife,MOVIE,2018,64,comedy,US,7.3,5153.0,6.412,6.991,Ali Wong,ACTOR,4
Pad Man,MOVIE,2018,140,drama,IN,7.9,26968.0,13.226,7.485,Akshay Kumar,ACTOR,8
The Skin of the Wolf,MOVIE,2018,110,drama,ES,5.8,3272.0,8.224,5.208,Mario Casas,ACTOR,46
Lynne Koplitz: Hormonal Beast,MOVIE,2017,51,comedy,US,6.3,459.0,2.709,5.4,Lynne Koplitz,ACTOR,4
Rodney King,MOVIE,2017,52,drama,US,6.1,619.0,2.934,4.9,Roger Guenveur Smith,ACTOR,1
A-X-L,MOVIE,2018,98,scifi,US,5.3,12383.0,22.532,6.327,Alex Neustaedter,ACTOR,29
Trevor Noah: Afraid of the Dark,MOVIE,2017,68,comedy,US,7.3,5584.0,4.922,7.144,Trevor Noah,ACTOR,4
James Acaster: Repertoire,SHOW,2018,52,comedy,GB,8.4,3976.0,4.605,8.2,James Acaster,ACTOR,5
"Michael Bolton's Big, Sexy Valentine's Day Special",MOVIE,2017,54,comedy,US,6.8,2194.0,6.031,6.3,Michael Bolton,ACTOR,4
Something in the Rain,SHOW,2018,73,drama,KR,8.1,7040.0,34.403,7.93,Son Ye-jin,ACTOR,90
Frat Star,MOVIE,2017,85,comedy,US,3.5,718.0,3.89,4.9,Connor Lawrence,ACTOR,4
Roxanne Roxanne,MOVIE,2018,98,drama,US,6.2,3413.0,8.191,6.087,Chanté Adams,ACTOR,1
Million Yen Women,SHOW,2017,30,drama,JP,7.5,1971.0,11.583,6.788,Moeka Hoshi,ACTOR,57
Springsteen On Broadway,MOVIE,2018,153,documentation,US,8.5,2290.0,4.392,8.0,Bruce Springsteen,ACTOR,66
Soorma,MOVIE,2018,131,drama,IN,7.3,5378.0,4.241,7.217,Diljit Dosanjh,ACTOR,8
Here to Heart,SHOW,2018,45,drama,CN,7.5,264.0,6.032,8.2,Zhang Han,ACTOR,125
The Hollow,SHOW,2018,24,comedy,CA,7.2,4555.0,8.527,7.052,Ashleigh Ball,ACTOR,59
Battlefish,SHOW,2018,43,reality,US,7.1,465.0,2.696,7.8,Unknown,Unknown,26
A Christmas Prince,MOVIE,2017,92,romance,US,5.8,20635.0,11.451,6.6,Rose McIver,ACTOR,2
Lionheart,MOVIE,2018,95,drama,NG,5.7,1510.0,3.546,6.1,Genevieve Nnaji,ACTOR,80
The Seven Deadly Sins: Prisoners of the Sky,MOVIE,2018,99,action,JP,7.1,5038.0,9.464,7.551,Yuki Kaji,ACTOR,81
Tracy Morgan: Staying Alive,MOVIE,2017,60,comedy,US,6.3,1215.0,4.241,6.2,Tracy Morgan,ACTOR,4
A Taiwanese Tale of Two Cities,SHOW,2018,69,drama,TW,6.5,168.0,2.856,7.9,James Wen,ACTOR,69
King of Thieves,MOVIE,2018,108,drama,GB,5.5,15425.0,14.174,5.497,Michael Caine,ACTOR,34
Barbra: The Music ... The Mem'ries ... The Magic!,MOVIE,2017,108,music,US,7.5,448.0,3.96,7.0,Barbra Streisand,ACTOR,94
Brian Regan: Nunchucks and Flamethrowers,MOVIE,2017,61,comedy,US,6.3,693.0,2.758,5.9,Brian Regan,ACTOR,4
Candy Jar,MOVIE,2018,92,comedy,US,5.8,5304.0,10.78,6.2,Sami Gayle,ACTOR,4
Good Game: The Beginning,MOVIE,2018,104,comedy,TR,4.5,2418.0,5.355,2.4,Mert Yazıcıoğlu,ACTOR,52
Made in Mexico,SHOW,2018,50,reality,US,3.9,776.0,5.326,7.5,Shanik Aspe,ACTOR,26
Five Came Back,SHOW,2017,65,war,US,8.3,4909.0,4.333,7.478,Meryl Streep,ACTOR,129
The Death and Life of Marsha P. Johnson,MOVIE,2017,105,documentation,US,7.2,3049.0,8.479,7.335,Marsha P. Johnson,ACTOR,66
Greenhouse Academy,SHOW,2017,23,drama,US,6.6,6463.0,22.545,7.881,Ariel Mortman,ACTOR,39
Love per Square Foot,MOVIE,2018,133,romance,IN,7.2,8580.0,7.553,6.686,Vicky Kaushal,ACTOR,9
B: The Beginning,SHOW,2018,25,action,JP,7.1,5165.0,22.058,7.7,Asami Seto,ACTOR,27
Lucas Brothers: On Drugs,MOVIE,2017,49,comedy,US,5.8,843.0,1.901,5.2,Kenneth Lucas,ACTOR,4
Lucid Dream,MOVIE,2017,101,thriller,KR,6.1,3851.0,14.331,6.206,Go Soo,ACTOR,99
Alias Grace,SHOW,2017,44,drama,CA,7.7,34336.0,15.67,7.248,Sarah Gadon,ACTOR,56
The Big Family Cooking Showdown,SHOW,2017,59,reality,GB,7.1,708.0,4.898,7.0,Giorgio Locatelli,ACTOR,55
May the Devil Take You,MOVIE,2018,110,horror,ID,5.9,4563.0,13.108,6.2,Chelsea Islan,ACTOR,172
Kevin James: Never Don't Give Up,MOVIE,2018,62,comedy,US,6.2,1517.0,4.468,6.271,Kevin James,ACTOR,4
Lust Stories,MOVIE,2018,120,drama,IN,6.4,11256.0,10.632,6.302,Radhika Apte,ACTOR,8
Family Blood,MOVIE,2018,92,horror,US,4.2,3170.0,9.767,4.6,Vinessa Shaw,ACTOR,31
Ugly Delicious,SHOW,2018,51,documentation,US,7.8,3644.0,5.7,7.4,David Chang,ACTOR,0
Spivak,MOVIE,2018,91,comedy,US,5.7,786.0,4.573,5.6,Michael Bacall,ACTOR,4
On My Skin,MOVIE,2018,100,drama,IT,7.3,9644.0,11.399,8.052,Alessandro Borghi,ACTOR,51
Nightflyers,SHOW,2018,44,scifi,US,5.8,13606.0,8.818,5.496,Brían F. O'Byrne,ACTOR,36
Replicas,MOVIE,2018,108,thriller,US,5.5,37340.0,33.823,6.0,Keanu Reeves,ACTOR,19
The Mars Generation,MOVIE,2017,97,documentation,US,6.5,1012.0,5.216,6.6,Bill Nye,ACTOR,66
Luis Miguel: The Series,SHOW,2018,50,drama,MX,8.0,4556.0,27.083,8.026,Diego Boneta,ACTOR,153
Quincy,MOVIE,2018,124,documentation,US,7.6,4702.0,8.094,7.4,Quincy Jones,ACTOR,66
Lilli,MOVIE,2018,91,drama,IN,5.7,291.0,1.74,6.222,Samyuktha Menon,ACTOR,8
The Girl Allergic to Wi-Fi,MOVIE,2018,104,comedy,PH,6.1,328.0,3.469,6.9,Sue Ramirez,ACTOR,107
Bill Nye: Science Guy,MOVIE,2017,95,documentation,US,6.7,1252.0,4.702,6.2,Bill Nye,ACTOR,66
Trailer Park Boys: Out of the Park: USA,SHOW,2017,30,comedy,CA,6.540941965073206,21150.29081903414,4.459,6.8,John Paul Tremblay,ACTOR,59
The Comedy Lineup,SHOW,2018,15,comedy,US,6.0,514.0,2.241,6.0,Unknown,Unknown,16
Pihu,MOVIE,2018,91,thriller,IN,6.7,2649.0,6.65,7.6,Pihu Myra Vishwakarma,ACTOR,13
Nothing to Hide,MOVIE,2018,93,drama,IT,6.8,15928.0,10.442,6.5,Bérénice Bejo,ACTOR,51
Take Me,MOVIE,2017,83,crime,US,6.1,6202.0,9.088,5.766,Taylor Schilling,ACTOR,3
Seth Rogen's Hilarity for Charity,MOVIE,2018,70,comedy,CA,5.0,2432.0,8.01,5.3,Seth Rogen,ACTOR,74
Revenger,MOVIE,2018,102,action,KR,5.7,4489.0,13.197,5.298,Bruce Khan,ACTOR,162
Re:Mind,SHOW,2017,23,drama,JP,4.9,1709.0,8.214,5.9,Mirei Sasaki,ACTOR,57
Duck Butter,MOVIE,2018,93,drama,US,5.3,4228.0,13.159,5.5,Alia Shawkat,ACTOR,1
Ryan Hamilton: Happy Face,MOVIE,2017,56,comedy,US,7.3,988.0,3.245,6.95,Ryan Hamilton,ACTOR,4
Two Catalonias,MOVIE,2018,116,documentation,ES,6.4,677.0,2.804,6.7,Carles Puigdemont,ACTOR,137
Catching Feelings,MOVIE,2018,115,drama,ZA,5.8,552.0,2.95,4.4,Kagiso Lediga,ACTOR,132
Al Hayba,SHOW,2017,44,drama,AE,7.4,1448.0,74.878,6.34,Tim Hassan,ACTOR,141
Burn Out,MOVIE,2018,107,thriller,FR,6.2,4009.0,13.063,6.753,François Civil,ACTOR,178
Aditi Mittal: Things They Wouldn't Let Me Say,MOVIE,2017,62,comedy,IN,4.4,339.0,1.901,4.385,Aditi Mittal,ACTOR,24
Bill Burr: Walk Your Way Out,MOVIE,2017,77,comedy,US,7.2,7748.0,5.404,6.777,Bill Burr,ACTOR,4
Diablero,SHOW,2018,38,scifi,MX,6.7,2693.0,19.35,7.5,Giselle Kuri,ACTOR,-1
Seven Seconds,SHOW,2018,62,crime,US,7.7,15323.0,10.087,7.284,Clare-Hope Ashitey,ACTOR,135
Icarus,MOVIE,2017,121,documentation,US,7.9,51396.0,9.989,7.678,Bryan Fogel,ACTOR,66
Daughters of Destiny,SHOW,2017,65,documentation,IN,8.6,955.0,1.569,7.3,Vanessa Roth,DIRECTOR,179
ReMastered: Tricky Dick & The Man in Black,MOVIE,2018,58,documentation,US,7.1,1593.0,4.008,6.7,Johnny Cash,ACTOR,66
Black Crows,SHOW,2017,44,drama,SA,5.5,338.0,2.779,7.667,Unknown,Unknown,118
Judah Friedlander: America Is the Greatest Country in the United States,MOVIE,2017,84,comedy,US,7.8,1563.0,5.469,7.3,Judah Friedlander,ACTOR,4
Secret Agent Selection: WW2,SHOW,2018,59,war,GB,7.7,601.0,4.455,6.4,Douglas Henshall,ACTOR,-1
The Princess Switch,MOVIE,2018,101,comedy,US,6.0,29401.0,18.688,7.0,Vanessa Hudgens,ACTOR,4
Cable Girls,SHOW,2017,46,drama,ES,7.6,13855.0,53.03,7.843,Blanca Suárez,ACTOR,133
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",MOVIE,2017,60,comedy,US,7.4,2868.0,5.287,6.812,Norm Macdonald,ACTOR,4
Cloudy with a Chance of Meatballs,SHOW,2017,11,comedy,CA,3.4,750.0,10.235,5.0,Mark Robert Edwards,ACTOR,59
Instant Hotel,SHOW,2018,49,reality,AU,7.3,1612.0,2.429,7.1,John Karabelas,DIRECTOR,122
Gerald's Game,MOVIE,2017,104,horror,US,6.5,114405.0,25.636,6.389,Carla Gugino,ACTOR,31
First Match,MOVIE,2018,102,drama,US,6.4,2389.0,8.828,6.5,Elvire Emanuelle,ACTOR,1
Judd Apatow: The Return,MOVIE,2017,69,comedy,US,6.2,1321.0,6.554,6.3,Judd Apatow,ACTOR,4
Craig Ferguson: Tickle Fight,MOVIE,2017,76,comedy,US,6.6,1040.0,3.588,5.955,Craig Ferguson,ACTOR,4
Jim Jefferies: This Is Me Now,MOVIE,2018,70,comedy,US,7.4,4224.0,4.966,6.833,Jim Jefferies,ACTOR,4
King of Boys,MOVIE,2018,182,drama,NG,6.1,453.0,4.251,6.3,Sola Sobowale,ACTOR,80
Katherine Ryan: In Trouble,MOVIE,2017,63,comedy,GB,7.0,2267.0,4.116,6.464,Katherine Ryan,ACTOR,6
Kulipari: Dream Walker,SHOW,2018,22,animation,US,7.5,101.0,3.747,9.0,Charlie Adler,ACTOR,32
King of Peking,MOVIE,2018,88,comedy,CN,6.5,372.0,3.212,6.2,Zhao Jun,ACTOR,148
I Am Jonas,MOVIE,2018,82,drama,FR,7.0,6381.0,10.39,6.8,Félix Maritaud,ACTOR,96
Camarón: The Film,MOVIE,2018,104,documentation,ES,7.5,333.0,2.417,7.3,Camarón de la Isla,ACTOR,137
Duck Duck Goose,MOVIE,2018,82,comedy,CN,5.7,3828.0,14.205,6.237,Jim Gaffigan,ACTOR,148
Sad Hill Unearthed,MOVIE,2018,86,documentation,ES,7.4,1715.0,7.583,7.077,Álex de la Iglesia,ACTOR,137
Scissor Seven,SHOW,2018,16,comedy,CN,8.4,3270.0,125.254,8.607,He Xiaofeng,ACTOR,-1
Sanju,MOVIE,2018,161,drama,US,7.7,52227.0,7.695,7.3,Ranbir Kapoor,ACTOR,1
Deidra & Laney Rob a Train,MOVIE,2017,100,drama,US,6.0,1983.0,8.922,5.7,Ashleigh Murray,ACTOR,1
Buddy Thunderstruck: The Maybe Pile,MOVIE,2017,13,comedy,US,6.540941965073206,21150.29081903414,3.412,8.333,Brian Atkinson,ACTOR,4
A Land Imagined,MOVIE,2018,95,drama,NL,6.2,1378.0,5.108,5.855,Peter Yu,ACTOR,154
Maria Bamford: Old Baby,MOVIE,2017,64,comedy,US,6.1,945.0,4.093,5.1,Maria Bamford,ACTOR,4
Black Spot,SHOW,2017,55,drama,BE,7.4,12166.0,20.391,6.8,Laurent Capelluto,ACTOR,149
Little Boxes,MOVIE,2017,84,drama,US,5.9,2122.0,3.745,6.343,Melanie Lynskey,ACTOR,1
Benji,MOVIE,2018,87,drama,AE,6.3,5089.0,11.588,6.9,Gabriel Bateman,ACTOR,38
Teasing Master Takagi-san,SHOW,2018,23,comedy,JP,7.7,2442.0,59.17,8.306,Yuki Kaji,ACTOR,63
Roma,MOVIE,2018,135,drama,US,7.7,161871.0,15.964,7.667,Yalitza Aparicio,ACTOR,1
Nothing to Lose,MOVIE,2018,130,history,BR,2.3,23066.0,26.231,5.557,Petrônio Gontijo,ACTOR,-1
Us and Them,MOVIE,2018,120,romance,CN,7.4,4584.0,14.717,7.594,Jing Boran,ACTOR,-1
Looking For Love,MOVIE,2018,57,romance,ZA,7.2,18.0,1.253,10.0,Celeste Ntuli,ACTOR,-1
Murder Mountain,SHOW,2018,42,crime,US,6.8,3335.0,4.358,7.0,Joshua Zeman,DIRECTOR,135
Thus Spoke Kishibe Rohan,SHOW,2017,24,action,JP,7.5,1505.0,2.695,9.0,Takahiro Sakurai,ACTOR,27
Bomb Scared,MOVIE,2017,89,comedy,ES,5.7,2958.0,6.926,5.4,Javier Cámara,ACTOR,164
Prince of Peoria,SHOW,2018,26,comedy,US,6.1,533.0,6.029,7.0,Gavin Lewis,ACTOR,16
To All the Boys I've Loved Before,MOVIE,2018,100,romance,US,7.1,101175.0,37.78,7.7,Lana Condor,ACTOR,2
REA(L)OVE,SHOW,2018,42,reality,JP,6.6,250.0,1.303,6.0,Mari Yaguchi,ACTOR,48
Gun City,MOVIE,2018,127,thriller,ES,6.3,4095.0,8.937,6.3,Luis Tosar,ACTOR,177
Dragon Pilot: Hisone and Masotan,SHOW,2018,24,scifi,JP,6.9,545.0,14.069,7.9,Misaki Kuno,ACTOR,28
I Don't Feel at Home in This World Anymore,MOVIE,2017,96,thriller,US,6.9,55549.0,11.673,6.531,Melanie Lynskey,ACTOR,19
City of Joy,MOVIE,2018,74,documentation,CD,7.5,525.0,2.413,7.2,Christine Schuler-Deschryver,ACTOR,-1
"Out of Many, One",MOVIE,2018,35,documentation,US,6.540941965073206,21150.29081903414,2.407,5.4,Ruth Bader Ginsburg,ACTOR,66
When Angels Sleep,MOVIE,2018,91,thriller,ES,5.5,3838.0,8.789,5.6,Julián Villagrán,ACTOR,177
The Drug King,MOVIE,2018,139,drama,KR,6.2,3388.0,15.781,6.295,Song Kang-ho,ACTOR,117
The Milk System,MOVIE,2017,90,documentation,DE,7.0,562.0,3.878,6.6,Andreas Pichler,DIRECTOR,10
Escape from Mr. Lemoncello's Library,MOVIE,2017,79,fantasy,CA,5.3,513.0,7.489,5.7,Casey Simpson,ACTOR,180
The Mire,SHOW,2018,54,crime,PL,7.0,4717.0,12.964,6.791,Krzysztof Oleksyn,ACTOR,130
The Fix,SHOW,2018,27,comedy,US,7.0,2056.0,8.828,6.2,Jimmy Carr,ACTOR,16
Paradise Lost,MOVIE,2018,111,drama,BR,6.9,719.0,4.221,7.3,Lee Taylor,ACTOR,119
Katt Williams: Great America,MOVIE,2018,60,comedy,US,6.2,940.0,4.154,5.3,Katt Williams,ACTOR,4
Welcome to the Family,SHOW,2018,48,comedy,ES,6.7,496.0,7.981,7.0,Melani Olivares,ACTOR,155
Joe Mande's Award-Winning Comedy Special,MOVIE,2017,66,comedy,US,6.1,526.0,3.762,5.962,Joe Mande,ACTOR,4
Malena Pichot: Estupidez compleja,MOVIE,2018,50,comedy,AR,5.7,365.0,3.231,5.4,Malena Pichot,ACTOR,23
The Keepers,SHOW,2017,56,crime,US,8.2,14.0,10.679,7.512,Abbie Schaub,ACTOR,135
The Platform,SHOW,2018,45,music,ES,5.4,8.0,19.267195915153582,6.633193712829227,Unknown,Unknown,-1
Unauthorized Living,SHOW,2018,75,drama,ES,7.4,5199.0,31.978,7.4,Jose Coronado,ACTOR,133
Alexa & Katie,SHOW,2018,26,comedy,US,7.5,5451.0,33.236,8.3,Paris Berelc,ACTOR,16
A 3 Minute Hug,MOVIE,2018,28,documentation,MX,6.540941965073206,21150.29081903414,3.274,6.4,Everardo González,DIRECTOR,181
The Package,MOVIE,2018,94,comedy,US,5.6,19251.0,16.581,6.0,Daniel Doheny,ACTOR,4
Bonus Family,SHOW,2017,44,comedy,SE,2.9,16.0,100.575,6.567,Erik Johansson,ACTOR,-1
"Ron White: If You Quit Listening, I'll Shut Up",MOVIE,2018,63,comedy,US,6.6,885.0,3.183,6.207,Ron White,ACTOR,4
Explained,SHOW,2018,24,documentation,US,8.0,9538.0,17.287,7.747,Unknown,Unknown,0
The Confession Tapes,SHOW,2017,45,documentation,US,7.5,5529.0,6.24,7.149,Kelly Loudenberg,DIRECTOR,0
Jack Whitehall: At Large,MOVIE,2017,67,comedy,GB,6.9,2267.0,3.525,6.9,Jack Whitehall,ACTOR,6
The Many Faces of Ito,SHOW,2017,30,drama,JP,6.8,252.0,4.107,6.9,Fumino Kimura,ACTOR,57
Notes from Dunblane: Lessons from a School Shooting,MOVIE,2018,23,documentation,US,6.540941965073206,21150.29081903414,3.857,6.1,Father Bob Weiss,ACTOR,66
Mike Birbiglia: Thank God for Jokes,MOVIE,2017,71,comedy,US,7.5,2565.0,4.054,7.4,Mike Birbiglia,ACTOR,4
Live,SHOW,2018,61,drama,KR,8.3,1419.0,5.368,8.111,Jung Yu-mi,ACTOR,90
Jim Norton: Mouthful of Shame,MOVIE,2017,61,comedy,US,7.0,1360.0,4.529,6.7,Jim Norton,ACTOR,4
Naam Shabana,MOVIE,2017,147,thriller,IN,6.2,7063.0,5.319,5.919,Taapsee Pannu,ACTOR,13
The Bad Batch,MOVIE,2017,119,scifi,US,5.2,32956.0,19.048,5.246,Suki Waterhouse,ACTOR,29
ReMastered: Who Shot the Sheriff,MOVIE,2018,57,documentation,US,6.9,1518.0,4.608,6.9,Jimmy Cliff,ACTOR,66
High Society,MOVIE,2018,120,crime,KR,5.6,1121.0,14.151,5.8,Park Hae-il,ACTOR,-1
Okja,MOVIE,2017,120,fantasy,KR,7.3,116305.0,21.07,7.401,Tilda Swinton,ACTOR,-1
Born Racer,MOVIE,2018,88,drama,NZ,6.2,272.0,1.851,7.4,Dario Franchitti,ACTOR,-1
Loudon Wainwright III: Surviving Twin,MOVIE,2018,91,music,US,7.2,101.0,1.302,6.0,Loudon Wainwright III,ACTOR,94
DeRay Davis: How to Act Black,MOVIE,2017,66,comedy,US,6.2,466.0,2.865,6.1,DeRay Davis,ACTOR,4
My Mister,SHOW,2018,70,drama,KR,9.1,7285.0,20.566,8.347,Yui Okada,ACTOR,90
Weed the People,MOVIE,2018,98,documentation,US,7.3,366.0,3.177,7.0,Mara Gordon,ACTOR,66
Tig Notaro: Happy To Be Here,MOVIE,2018,58,comedy,US,6.6,1442.0,3.772,6.1,Tig Notaro,ACTOR,4
Grillo vs Grillo,MOVIE,2017,95,comedy,IT,5.4,133.0,1.39,6.0,Unknown,Unknown,182
Ari Shaffir: Double Negative,SHOW,2017,47,comedy,US,6.540941965073206,21150.29081903414,2.498,5.737,Ari Shaffir,ACTOR,16
Bareilly Ki Barfi,MOVIE,2017,123,comedy,IN,7.5,24328.0,5.758,6.8,Ayushmann Khurrana,ACTOR,24
The Cloverfield Paradox,MOVIE,2018,102,action,US,5.5,107743.0,17.238,5.6,Gugu Mbatha-Raw,ACTOR,17
Feminists: What Were They Thinking?,MOVIE,2018,86,documentation,US,7.0,2334.0,6.555,7.9,Laurie Anderson,ACTOR,66
Chosen,SHOW,2018,70,action,CN,5.4,126.0,2.459,6.5,Deng Jiajia,ACTOR,77
Brad Paisley's Comedy Rodeo,MOVIE,2017,63,comedy,US,5.6,166.0,2.303,5.6,Brad Paisley,ACTOR,4
Lady J,MOVIE,2018,109,drama,FR,6.8,3306.0,11.122,6.411,Cécile de France,ACTOR,96
First They Killed My Father,MOVIE,2017,136,drama,KH,7.2,17871.0,13.986,7.401,Sareum Srey Moch,ACTOR,-1
Lost Song,SHOW,2018,24,scifi,JP,7.0,396.0,12.107,8.0,Yukari Tamura,ACTOR,28
Armed to the Teeth,MOVIE,2018,108,documentation,MX,7.9,690.0,3.93,7.2,Alberto Arnaut Estrada,DIRECTOR,181
5 Star Christmas,MOVIE,2018,92,comedy,IT,4.5,837.0,8.001,4.2,Massimo Ghini,ACTOR,182
Sugar Rush,SHOW,2018,51,reality,US,7.0,1623.0,13.322,7.016,Hunter March,ACTOR,26
Rumble: The Indians Who Rocked the World,MOVIE,2017,103,music,CA,7.8,949.0,4.12,8.1,Robbie Robertson,ACTOR,-1
Jefe,MOVIE,2018,89,comedy,ES,5.5,1151.0,6.742,5.5,Luis Callejo,ACTOR,164
How It Ends,MOVIE,2018,113,thriller,CA,5.0,54786.0,21.515,5.276,Theo James,ACTOR,160
Neal Brennan: 3 Mics,MOVIE,2017,65,comedy,US,7.9,3633.0,3.892,7.3,Neal Brennan,ACTOR,4
The Motive,MOVIE,2017,104,drama,MX,6.5,5713.0,5.909,6.209,Javier Gutiérrez,ACTOR,70
The Laws of Thermodynamics,MOVIE,2018,100,romance,ES,6.0,2842.0,8.158,5.829,Vito Sanz,ACTOR,75
Jab Harry Met Sejal,MOVIE,2017,143,comedy,IN,5.1,21481.0,6.767,6.497,Shah Rukh Khan,ACTOR,24
Pickpockets,MOVIE,2018,108,thriller,CO,5.4,1246.0,11.711,5.1,Carlos Bardem,ACTOR,-1
Prison Playbook,SHOW,2017,91,drama,KR,8.4,3881.0,16.925,8.328,Park Hae-soo,ACTOR,90
Vir Das: Abroad Understanding,MOVIE,2017,65,comedy,IN,6.9,1777.0,2.82,6.9,Vir Das,ACTOR,24
The Guernsey Literary & Potato Peel Pie Society,MOVIE,2018,124,history,GB,7.3,48475.0,10.502,7.5,Lily James,ACTOR,-1
Victim Number 8,SHOW,2018,53,drama,ES,7.0,2134.0,8.438,7.7,César Mateo,ACTOR,133
Quién te cantará,MOVIE,2018,125,drama,FR,6.9,3079.0,7.863,7.2,Najwa Nimri,ACTOR,96
Holy Goalie,MOVIE,2018,95,comedy,ES,5.3,1779.0,10.547,5.6,Karra Elejalde,ACTOR,164
Gad Elmaleh: American Dream,MOVIE,2018,57,comedy,US,7.2,1107.0,8.545,6.8,Gad Elmaleh,ACTOR,4
Hymn of Death,SHOW,2018,45,drama,KR,7.6,1412.0,18.559,8.4,Lee Jong-suk,ACTOR,90
La Leyenda del Diamante,MOVIE,2018,87,fantasy,MX,3.3,54.0,6.48,5.2,Ana Layevska,ACTOR,-1
"Ram Dass, Going Home",MOVIE,2017,31,documentation,US,6.540941965073206,21150.29081903414,2.705,5.6,Ram Dass,ACTOR,66
Anon,MOVIE,2018,100,scifi,GB,6.1,42608.0,24.776,5.9,Clive Owen,ACTOR,-1
SWORDGAI The Animation,SHOW,2018,23,action,JP,5.8,992.0,25.456,6.8,Yuuka Aisaka,ACTOR,27
Extinction,MOVIE,2018,95,drama,US,5.8,54441.0,25.429,6.003,Michael Peña,ACTOR,1
The Set Up,MOVIE,2017,105,drama,NG,6.8,12.0,4.689,4.3,Adesua Etomi-Wellington,ACTOR,80
Free Rein: The Twelve Neighs of Christmas,MOVIE,2018,58,drama,US,5.8,4543.0,8.385,6.9,Jaylen Barron,ACTOR,1
Def Comedy Jam 25,MOVIE,2017,81,comedy,US,6.6,1139.0,4.264,5.8,D.L. Hughley,ACTOR,4
Strong Island,MOVIE,2017,107,documentation,US,6.4,3986.0,6.838,6.4,Yance Ford,ACTOR,66
The Reservoir Game,MOVIE,2017,100,documentation,KR,6.1,38.0,2.153,7.4,Joo Jin-woo,ACTOR,-1
Tom Segura: Disgraceful,MOVIE,2018,74,comedy,US,7.5,4059.0,4.872,7.1,Tom Segura,ACTOR,4
Marlon Wayans: Woke-ish,MOVIE,2018,68,comedy,US,6.5,1454.0,3.727,6.3,Marlon Wayans,ACTOR,4
Birth of the Dragon,MOVIE,2017,103,drama,CN,5.6,8494.0,13.592,5.764,Philip Ng,ACTOR,61
Fastest Car,SHOW,2018,44,reality,US,7.1,1384.0,6.84,7.5,Unknown,Unknown,26
Apostle,MOVIE,2018,130,horror,US,6.3,54831.0,14.077,6.109,Dan Stevens,ACTOR,31
Veronica,MOVIE,2017,105,horror,ES,6.2,43197.0,25.791,6.195,Sandra Escacena,ACTOR,183
The Epic Tales of Captain Underpants,SHOW,2018,23,comedy,US,6.7,1005.0,17.409,8.2,Nat Faxon,ACTOR,16
Nailed It! Holiday!,SHOW,2018,33,reality,US,7.7,1171.0,6.386,7.433,Nicole Byer,ACTOR,26
The Kissing Booth,MOVIE,2018,105,romance,GB,5.9,86529.0,59.479,7.249,Joey King,ACTOR,87
Amar,MOVIE,2017,105,romance,ES,5.1,4830.0,2.65,5.1,María Pedraza,ACTOR,75
Mo Amer: The Vagabond,MOVIE,2018,56,comedy,US,7.3,1010.0,3.548,5.7,Mo Amer,ACTOR,4
Kodachrome,MOVIE,2018,105,drama,US,6.8,17918.0,8.842,6.775,Ed Harris,ACTOR,1
